[05-Nov-2025 23:00:19 Europe/Berlin] PHP Warning:  Undefined array key "role" in C:\xampp\htdocs\portal\public\admin\include\side-bar.php on line 9
[06-Nov-2025 00:31:39 Europe/Berlin] PHP Warning:  include(include/head.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[06-Nov-2025 00:31:39 Europe/Berlin] PHP Warning:  include(): Failed opening 'include/head.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:00:50 Europe/Berlin] PHP Warning:  include(modals.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\portal\public\admin\term-plans.php on line 160
[16-Nov-2025 09:00:50 Europe/Berlin] PHP Warning:  include(): Failed opening 'modals.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\portal\public\admin\term-plans.php on line 160
[16-Nov-2025 09:02:38 Europe/Berlin] PHP Warning:  include(include/head.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:02:38 Europe/Berlin] PHP Warning:  include(): Failed opening 'include/head.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:02:58 Europe/Berlin] PHP Warning:  include(include/head.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:02:58 Europe/Berlin] PHP Warning:  include(): Failed opening 'include/head.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:08:47 Europe/Berlin] PHP Warning:  include(include/head.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:08:47 Europe/Berlin] PHP Warning:  include(): Failed opening 'include/head.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:09:03 Europe/Berlin] PHP Warning:  include(include/head.php): Failed to open stream: No such file or directory in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
[16-Nov-2025 09:09:03 Europe/Berlin] PHP Warning:  include(): Failed opening 'include/head.php' for inclusion (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\portal\public\admin\staff.php on line 686
